Задача,Описание что делалось кратко,Type Activity,Date,Duration (hours),Costs,Project,Start,Результат / На что задача направлена,Tags,Accumulation,Status,Week #,Comment
project immersion,calls звонок,call,"Monday, 18 September 2023",0.28,$8.50,OCR Нивелир,,звонок,,$8.50,paid,38,
project immersion,immersion learning negotiation погружение в проект,immersion,"Monday, 18 September 2023",3.45,$172.50,OCR Нивелир,,погружение в проект,,$181.00,paid,38,
project immersion,negotiations договоренности,agreements,"Tuesday, 19 September 2023",0.42,$20.83,OCR Нивелир,,договоренности,,$201.83,paid,38,
project immersion,negotiations договоренности,agreements,"Wednesday, 20 September 2023",0.33,$16.67,OCR Нивелир,,договоренности,,$218.50,paid,38,
project immersion,"immersion, setup погружение в проект",immersion,"Wednesday, 20 September 2023",3.25,$162.50,OCR Нивелир,,погружение в проект,,$381.00,paid,38,
meetings,team койком call Кайком коммуникация,call,"Wednesday, 20 September 2023",1.00,$30.00,OCR Нивелир,,Кайком коммуникация,,$411.00,paid,38,
meetings,customer call РСТ коммуникация,call,"Wednesday, 20 September 2023",0.50,$15.00,OCR Нивелир,,РСТ коммуникация,,$426.00,paid,38,
meetings,team койком call Кайком коммуникация,call,"Thursday, 21 September 2023",0.92,$27.50,OCR Нивелир,,Кайком коммуникация,,$453.50,paid,38,
OCR solutions,to research OCR solutions research_ocr_alex.md,research,"Thursday, 21 September 2023",2.00,$100.00,OCR Нивелир,,research_ocr_alex.md,,$553.50,paid,38,
Devops,to connect devops with customer devops devops management,management,"Thursday, 21 September 2023",0.50,$25.00,OCR Нивелир,,devops management,,$578.50,paid,38,
OCR solutions,to discuss OCR with team lead Кайком tech chat,management,"Thursday, 21 September 2023",0.40,$20.00,OCR Нивелир,,Кайком tech chat,,$598.50,paid,38,
Documents,to setup Online Docs NextCloud NextCloud OnlyOffice - edit Online,doing,"Thursday, 21 September 2023",0.50,$25.00,OCR Нивелир,,NextCloud OnlyOffice - edit Online,,$623.50,paid,38,
HR Devs for ML,"Поиск ML в команду в условиях отсутствия ML со стороны Кайком резерв ML экспертов в Tesseract, Paddle",doing,"Thursday, 21 September 2023",1.00,$50.00,OCR Нивелир,,"резерв ML экспертов в Tesseract, Paddle",,$673.50,paid,38,
Documents,to make documents online place NextCloud OnlyOffice - edit Online,doing,"Thursday, 21 September 2023",0.30,$15.00,OCR Нивелир,,NextCloud OnlyOffice - edit Online,,$688.50,paid,38,
meetings,ежедневный общий звонок с Койком Кайком коммуникация,call,"Friday, 22 September 2023",0.50,$15.00,OCR Нивелир,09:30,Кайком коммуникация,,$703.50,paid,38,
meetings,девопс звонок в 2 итерации со Стас + Иван ,call,"Friday, 22 September 2023",0.50,$15.00,OCR Нивелир,10:30,,,$718.50,paid,38,
Devops,прояснение требований к devops у заказчика ,management,"Friday, 22 September 2023",1.00,$50.00,OCR Нивелир,,,,$768.50,paid,38,
HR Partners for ML,звонок с потенциальными партнерами Inovave ,call,"Friday, 22 September 2023",0.33,$9.90,OCR Нивелир,14:40,,,$778.40,paid,38,
HR Partners for ML,звонок с потенциальными партнерами DreamDocs или ApRbot? ,call,"Friday, 22 September 2023",0.55,$16.50,OCR Нивелир,15:45,,,$794.90,paid,38,
HR Devs for ML,сбор задачи-запрос для Telegram + examples.zip чтобы быстро пояснять задачу специалистам и получать фидбек ,management,"Friday, 22 September 2023",1.75,$87.50,OCR Нивелир,,,,$882.40,paid,38,
Reports,отчеты и пояснения где что смотреть ,management,"Friday, 22 September 2023",0.50,$25.00,OCR Нивелир,,,,$907.40,paid,38,
Documents,"просмотр переписок - сложить доки из чатов в NextCloud, запрос доступа по Dataset ",management,"Saturday, 23 September 2023",0.60,$30.00,OCR Нивелир,,,,$937.40,paid,38,
HR Devs for ML,подготовка миниТЗ для поиска спецов ,management,"Saturday, 23 September 2023",0.83,$41.67,OCR Нивелир,,,,$979.07,paid,38,
HR Devs for ML,коммуникация со спецами ,management,"Saturday, 23 September 2023",0.42,$20.83,OCR Нивелир,,,,$999.90,paid,38,
meetings,Койком - Звонок Кайком коммуникация,call,"Monday, 25 September 2023",0.92,$27.50,OCR Нивелир,,Кайком коммуникация,,"$1,027.40",paid,39,
meetings,Заказчик - звонок РСТ коммуникация,call,"Monday, 25 September 2023",0.45,$13.50,OCR Нивелир,,РСТ коммуникация,,"$1,040.90",paid,39,
HR Devs for ML,"ТЗ и коммуникация по этим вопросам резерв ML экспертов в Tesseract, Paddle",management,"Monday, 25 September 2023",0.25,$12.50,OCR Нивелир,,"резерв ML экспертов в Tesseract, Paddle",,"$1,053.40",paid,39,
Мониторинг,просмотр что происходит и как движется Анализ куда движется разработка,management,"Monday, 25 September 2023",0.25,$12.50,OCR Нивелир,,Анализ куда движется разработка,,"$1,065.90",paid,39,
Мониторинг,просмотр что происходит и как движется Анализ куда движется разработка,management,"Tuesday, 26 September 2023",0.25,$12.50,OCR Нивелир,,Анализ куда движется разработка,,"$1,078.40",paid,39,
Мониторинг,напоминание уточнения подвисших вопросов Анализ куда движется разработка,management,"Tuesday, 26 September 2023",0.50,$25.00,OCR Нивелир,,Анализ куда движется разработка,,"$1,103.40",paid,39,
Партнеры,"информация для партнеров и прочие обсуждения, апдейт дока для них Подготовка кратких ТЗ для партнеров",management,"Tuesday, 26 September 2023",0.50,$25.00,OCR Нивелир,,Подготовка кратких ТЗ для партнеров,,"$1,128.40",paid,39,
Доки XML PDF,"сравнение, python скрипты парсинга, разбор тегов структуры Скрипты анализа тегов в XML примерах заказчика",analytic,"Tuesday, 26 September 2023",1.50,$75.00,OCR Нивелир,,Скрипты анализа тегов в XML примерах заказчика,,"$1,203.40",paid,39,
Описание_.pdf,анализ и разборк документа и дальнейшее взаимодействией с командой по нему Анализ Решения задачи от конкурентов,analytic,"Tuesday, 26 September 2023",1.25,$62.50,OCR Нивелир,,Анализ Решения задачи от конкурентов,,"$1,265.90",paid,39,
chats,chats reading updates Анализ куда движется разработка,management,"Wednesday, 27 September 2023",0.25,$12.50,OCR Нивелир,,Анализ куда движется разработка,,"$1,278.40",paid,39,
chats,chats reading updates Анализ куда движется разработка,management,"Thursday, 28 September 2023",0.25,$12.50,OCR Нивелир,,Анализ куда движется разработка,,"$1,290.90",paid,39,
meetings,call with Alexei Другой outsource коммуникация,call,"Thursday, 28 September 2023",0.75,$22.50,OCR Нивелир,,Другой outsource коммуникация,,"$1,313.40",paid,39,
meetings,прослушал запись за 27 когда отсутствовал и себе на заметку задачи Кайком коммуникация,call,"Thursday, 28 September 2023",0.25,$7.50,OCR Нивелир,,Кайком коммуникация,,"$1,320.90",paid,39,
docs order and database,"Документы все собрал в БД чтобы четко понимать статусы и что происходит БД с доками из NextCloud, Tg для разраобтки",analytic,"Thursday, 28 September 2023",1.25,$62.50,OCR Нивелир,,"БД с доками из NextCloud, Tg для разраобтки",,"$1,383.40",paid,39,
docs order and database,"Документы все собрал в БД чтобы четко понимать статусы и что происходит БД с доками из NextCloud, Tg для разраобтки",analytic,"Friday, 29 September 2023",1.25,$62.50,OCR Нивелир,,"БД с доками из NextCloud, Tg для разраобтки",,"$1,445.90",paid,39,
анализ проделанной работы,"ask updates Кайком, read, follow-up Анализ куда движется разработка",analytic,"Friday, 29 September 2023",0.25,$12.50,OCR Нивелир,,Анализ куда движется разработка,,"$1,458.40",paid,39,
анализ проделанной работы,погружение в то что делают Кайком и релевантные запросы Анализ куда движется разработка,analytic,"Friday, 29 September 2023",0.75,$37.50,OCR Нивелир,,Анализ куда движется разработка,,"$1,495.90",paid,39,
ТЗ для других,links.md документ для Alexei links.md  - док где все примеры и полезные материалы для outsource других команд,analytic,"Friday, 29 September 2023",0.50,$25.00,OCR Нивелир,,links.md  - док где все примеры и полезные материалы для outsource других команд,,"$1,520.90",paid,39,
анализ проделанной работы,анализ что делал Alexei Анализ куда движется разработка,analytic,"Friday, 29 September 2023",0.50,$25.00,OCR Нивелир,,Анализ куда движется разработка,,"$1,545.90",paid,39,
architecture,РСТ диаграмма.pdf Анализ куда движется разработка,analytic,"Friday, 29 September 2023",0.25,$12.50,,,Анализ куда движется разработка,,"$1,558.40",paid,39,
meeting,Ivan call Кайком коммуникация,call,"Friday, 29 September 2023",0.50,$15.00,,,Кайком коммуникация,,"$1,573.40",paid,39,
maksimov,alexei maksimov обозначили ему задачу в глубь и тп Другой outsource коммуникация,management,"Friday, 29 September 2023",0.40,$20.00,,,Другой outsource коммуникация,,"$1,593.40",paid,39,
solution,противоречивый нюанс в требованиях касательно стили в xml niso-sts Анализ куда движется разработка,analytic,"Friday, 29 September 2023",0.50,$25.00,,,Анализ куда движется разработка,,"$1,618.40",paid,39,
devops,"devops Стас и Иван и в целом environments прояснение devops порядки и правила, пушинг",devops,"Friday, 29 September 2023",0.50,$25.00,,,"devops порядки и правила, пушинг",,"$1,643.40",paid,39,
devops,devops documentation devops.md  док со всеми правилами,devops,"Friday, 29 September 2023",1.00,$50.00,,,devops.md  док со всеми правилами,,"$1,693.40",paid,39,
devops,"- добился получить доступ к коду
- настроил VPNs и сделал инструкцию для Юрия и коллег
- проверил gitlab кайком, скачал репозитории devops порядки и правила, пушинг",devops,"Monday, 2 October 2023",0.60,$30.00,,,"devops порядки и правила, пушинг",,"$1,723.40",paid,40,
xml editor,"research solution xml editors. нашел 16 репозиториев, из которых поставил Priority: High для 3, и Middle для 6, в целом можно глянуть все, нет уверенности что можно сделать легко и быстро редактирование XML как в Word, но tag-ом ""Visual Edit"" пометил те, у которых заявлено https://ai-llm-ocr.notion.site/451ebc6f625641f9b9b93cf00db8cc89?v=dbb8e20cb3f3460b99e86fa3b838ea55&pvs=4 ,также еще у monaco-edit увидел diff-view из коробки
(nextcloud-doc-backup) research_xml_editor.md ",r&d,"Monday, 2 October 2023",2.50,$125.00,,,research_xml_editor.md ,,"$1,848.40",paid,40,
meetings,Кайком call Кайком коммуникация,call,"Monday, 2 October 2023",0.50,$15.00,,,Кайком коммуникация,,"$1,863.40",paid,40,
meetings,Alexei Maksimov call Другой outsource коммуникация,call,"Monday, 2 October 2023",0.15,$4.50,,,Другой outsource коммуникация,,"$1,867.90",paid,40,
meetings,РСТ call РСТ коммуникация,call,"Monday, 2 October 2023",0.75,$22.50,,,РСТ коммуникация,,"$1,890.40",paid,40,
chats,docs & chats reading updates Анализ куда движется разработка,analytic,"Monday, 2 October 2023",0.50,$25.00,,,Анализ куда движется разработка,,"$1,915.40",paid,40,
tasks,расписал таски что по-моему внению важно и в процессе за сегодня и дальше буду вести быстрый task management на ком что - много пунктов и нужно помнить кого где пушить и ничего не упускать  scrum board in notion,management,"Monday, 2 October 2023",0.75,$37.50,,,scrum board in notion,,"$1,952.90",paid,40,
кайком что там движется,"проанализировал что там по итогам звонка Кайком и задал вопросы. Плюс попросил их нормально показать tasks + timeline, а то что-то нет уверенности. Завтра еще даты попрошу Анализ куда движется разработка",management,"Monday, 2 October 2023",0.50,$25.00,,,Анализ куда движется разработка,,"$1,977.90",paid,40,
reports,отчет за день в часах апдейт отчетности для Юрия и пояснения,reports,"Monday, 2 October 2023",0.45,$0.00,,,апдейт отчетности для Юрия и пояснения,,"$1,977.90",paid,40,
monitoring,"просмотрел что происходит в репо gitlab-кайком (2-back,1-front,1-analytic,1-teamlead) и sbercloud-цт понимание репозиториев и серверов",management,"Monday, 2 October 2023",0.25,$12.50,,,понимание репозиториев и серверов,,"$1,990.40",paid,40,
devops,добавил правил для описание инфраструктуры всего для девопса сделать прозрачный контейнер вместо черного ящика обновил добавил правил и вопросов в файл devops.md,devops,"Monday, 2 October 2023",0.60,$30.00,,,обновил добавил правил и вопросов в файл devops.md,,"$2,020.40",paid,40,
meetings,"Alexei Maksimov call. отчет по кач-ву OCR и план на завтра, notes link. отчет по кач-ву OCR и план на завтра, notes link.",call,"Tuesday, 3 October 2023",0.25,$7.50,,,"отчет по кач-ву OCR и план на завтра, notes link.",,"$2,027.90",paid,40,
datasets,Выяснилось что datasets не был в доступе у нас. Dataset найден и передан datasets переданы,management,"Tuesday, 3 October 2023",0.30,$15.00,,,datasets переданы,,"$2,042.90",paid,40,
tasks,"Напоминание и пушинг Кайком с вопросами и ответами для прояснения статуса. Запрос Demo и прочие вопросы - статус по SOW лист
- рефактор статуса выше в Scrum Board",management,"Tuesday, 3 October 2023",1.25,$62.50,,,"- статус по SOW лист
- рефактор статуса выше в Scrum Board",,"$2,105.40",paid,40,
solution,"Технические вопросы по онтологической модели, db schema, LLMs use, и прочие по реализации решений - получены ответы - привязаны к задачам
- назначили звонок на завтра",analytic,"Tuesday, 3 October 2023",0.75,$37.50,,,"- получены ответы - привязаны к задачам
- назначили звонок на завтра",,"$2,142.90",paid,40,
chats,Оф. запросы на вопросы к РСТ заказчику. Bpium - пушнул nextstep и движение по вопросам чтобы не зависли в воздухе,management,"Tuesday, 3 October 2023",0.25,$12.50,,,- пушнул nextstep и движение по вопросам чтобы не зависли в воздухе,,"$2,155.40",paid,40,
reports,"отчет за день в часах, напоминание про оплаты 3й раз апдейт отчетности для Юрия и пояснения",reports,"Tuesday, 3 October 2023",0.40,$0.00,,,апдейт отчетности для Юрия и пояснения,,"$2,155.40",paid,40,
bpium,"bpium - изучение системы, демо, api c последующим формирование документа для аналитика, отчет, описание задачи и дальнейшие шаги. Также выделил отдельную ветку обсуждения под эту глобальную задачу отчетности. Плюс менеджемент шаги по этому",analytic,"Wednesday, 4 October 2023",2.25,$112.50,,,,,"$2,267.90",paid,40,
